iteration,operator_0,operator_1,operator_2,operator_3
0,0,0,0,0
1,0,0,-6585649,0
2,0,0,0,-2428665
3,0,0,0,-67613253
4,0,-788067,0,0
5,-685681,0,0,0
6,0,0,675924,0
7,0,0,-437879,0
8,0,-41356,0,0
9,0,0,-381642,0
10,0,-892189,0,0
11,0,0,-561429,0
12,0,-769273,0,0
13,0,-286767,0,0
14,0,53524,0,0
15,0,0,0,0
16,0,0,-44085,0
17,0,0,0,-63454333
18,0,0,0,-3050349
19,0,652112,0,0
20,0,0,0,0
21,0,82887,0,0
22,0,-23354,0,0
23,0,0,0,0
24,0,0,198444,0
25,0,207182,0,0
26,0,0,-61521255,0
27,0,60340,0,0
28,0,36195,0,0
29,0,-61617790,0,0
30,0,0,0,-61617790
31,0,28430,0,0
32,0,-56016,0,0
33,0,-7830,0,0
34,0,-49454,0,0
35,48059,0,0,0
36,0,0,-61580979,0
37,5601,0,0,0
38,0,0,0,-61586580
39,0,0,0,-61586580
40,0,19700,0,0
41,0,0,0,-76427
42,0,0,-865041,0
43,0,0,189689,0
44,0,-38472,0,0
45,0,0,-17922,0
46,0,0,-4939,0
47,0,14302,0,0
48,0,0,0,0
49,0,0,-446170,0
50,0,0,-60361300,0
51,0,0,0,0
52,0,0,0,-60361300
53,0,-60361300,0,0
54,0,-60361300,0,0
55,0,-693521,0,0
56,0,0,-59667779,0
57,0,0,0,-59667779
58,0,0,0,-59667779
59,0,0,0,-162380
60,0,0,0,-59505399
61,0,0,0,-59505399
62,0,-7271,0,0
63,-211814,0,0,0
64,0,0,0,-59286314
65,0,0,0,-422499
66,0,0,0,-58863815
67,-58863815,0,0,0
68,0,0,110126,0
69,18558,0,0,0
70,0,75345,0,0
71,-27797,0,0,0
72,0,0,-59040047,0
73,0,0,0,-59040047
74,0,-83909,0,0
75,0,0,-802640,0
76,0,-58153498,0,0
77,0,-58153498,0,0
78,0,0,61986,0
79,0,0,0,-58215484
80,0,0,209464,0
81,0,0,-58424948,0
82,0,-58424948,0,0
83,0,-58424948,0,0
84,0,0,-58424948,0
85,0,0,0,-58424948
86,0,0,-58424948,0
87,-3352,0,0,0
88,0,0,107371,0
89,0,-58528967,0,0
90,0,-58528967,0,0
91,-51968,0,0,0
92,0,0,-58476999,0
93,0,0,-93572,0
94,0,0,0,-58383427
95,0,0,-58383427,0
96,0,0,0,-58383427
97,0,-176178,0,0
98,-95113,0,0,0
99,0,0,534570,0
100,-58646706,0,0,0
101,0,0,0,-58646706
102,0,0,-442885,0
103,0,60539,0,0
104,0,0,0,-58264360
105,-58264360,0,0,0
106,-71010,0,0,0
107,0,0,0,0
108,0,0,0,-58193350
109,0,-89591,0,0
110,0,-495782,0,0
111,0,-57607977,0,0
112,0,0,-57607977,0
113,0,0,0,0
114,0,0,0,-57607977
115,0,0,-57607977,0
116,29458,0,0,0
117,0,0,0,0
