iteration,best_cost,incumbent_cost
0,76627567,76627567
1,74273581,74273581
2,73885903,73885903
3,73821770,73821770
4,73528652,73528652
5,73418713,73418713
6,73418713,73538417
7,73418713,73538417
8,73418713,73533187
9,73418713,73533187
10,73418713,73571298
11,61865222,61865222
12,61865222,61865222
13,61865222,61865222
14,61865222,61865222
15,61729503,61729503
16,61729503,61729503
17,61729503,61729503
18,61723330,61723330
19,61723330,61752924
20,61723330,61804229
21,61723330,61747272
22,61723330,61747272
23,61723330,61747272
24,61170765,61170765
25,61071138,61071138
26,60961789,60961789
27,60627648,60627648
28,60627648,60627648
29,60001706,60001706
30,59533857,59533857
31,59518063,59518063
32,59423779,59423779
33,59423779,59423779
34,59423779,59423779
35,59423779,60281788
36,59423779,60281788
37,59423779,59497601
38,59423779,59497601
39,59423779,59608601
40,59423779,59426641
41,59407592,59407592
42,59407592,59407592
43,59407592,59407592
44,59248723,59248723
45,59248723,59248723
46,59248723,59248723
47,59248723,61165303
48,59248723,60848492
49,59248723,60848492
50,59248723,60848492
51,59248723,60848492
52,59248723,60848492
53,59248723,60848492
54,59248723,60848492
55,59248723,60848122
56,59248723,60664017
57,59248723,60664017
58,59248723,60664017
59,59248723,60911024
60,59248723,60911024
61,59248723,60911024
62,59248723,60911024
63,59248723,60859643
64,59248723,60693131
65,59248723,60679338
66,59248723,60641879
67,59248723,60508334
68,59248723,60508334
69,59248723,60474505
70,59248723,60474505
71,59248723,60474505
72,59248723,60474505
73,59248723,60631209
74,59248723,60631209
75,59248723,59747389
76,59248723,59598840
77,59248723,59598840
78,59248723,59598840
79,59248723,59598840
80,59248723,59565266
81,59248723,60030996
82,59248723,59360976
83,59248723,59266861
84,59248723,59266861
85,59248723,59266861
86,59218770,59218770
87,58499193,58499193
88,58499193,58499193
89,58499193,58499193
90,58354958,58354958
91,58309296,58309296
92,58128367,58128367
93,58128367,58224677
94,58128367,58312783
95,58128367,58312783
96,58128367,58312783
97,58128367,58261403
98,58128367,58134113
99,58128367,58972599
100,58128367,58972599
101,58128367,58972599
102,58128367,59366358
103,58128367,59256847
104,58128367,59248035
105,58128367,59248035
106,58128367,59216284
107,58128367,59216284
108,58128367,59126734
109,58128367,58535773
110,58128367,58676519
111,58128367,58676519
112,58128367,58676519
113,58128367,58171665
114,58128367,58168984
115,57974403,57974403
116,57974403,57974403
117,57974403,57974403
118,57974403,58302375
119,57689724,57689724
120,57689724,57689724
121,57621555,57621555
122,57495116,57495116
123,57459810,57459810
124,57408016,57408016
125,57408016,57408016
126,57032074,57032074
127,56642228,56642228
128,56642228,56642228
129,55877125,55877125
130,55801386,55801386
131,55652341,55652341
132,55460180,55460180
133,55071328,55071328
134,55071328,55071328
135,54566466,54566466
136,54566466,55368392
137,54566466,55315545
138,54566466,55324561
139,54566466,55149458
140,54566466,55149458
141,54566466,55086765
142,54566466,55038379
143,54566466,55101072
144,54566466,55084610
145,54566466,54918724
146,54566466,54918724
147,54566466,54918724
