iteration,operator_0,operator_1,operator_2,operator_3,operator_4
0,0,0,0,0,0
1,0,0,0,0,-2352650
2,0,0,0,0,-157059
3,-171088,0,0,0,0
4,-43034,0,0,0,0
5,0,0,0,-541976,0
6,0,0,0,0,0
7,0,0,0,-5693975,0
8,0,0,0,0,264690
9,0,0,-102815,0,0
10,0,0,0,-5855850,0
11,0,0,-13489,0,0
12,0,0,0,-465247,0
13,0,0,0,0,0
14,0,0,0,0,-109720
15,0,0,0,0,-551120
16,0,0,-104416,0,0
17,0,0,0,0,180773
18,0,0,0,0,526548
19,0,0,-128461,0,0
20,-107553,0,0,0,0
21,0,0,0,0,307515
22,0,0,0,-5390680,0
23,0,0,0,0,-881830
24,0,0,0,0,0
25,0,0,0,-4508850,0
26,0,0,0,0,6200
27,0,0,0,0,0
28,0,0,-76564,0,0
29,0,0,0,-4438486,0
30,0,0,0,0,67512
31,0,0,0,0,0
32,0,0,-60405,0,0
33,0,0,0,0,0
34,0,0,-14885,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,-93469,0,0,0,0
38,0,0,0,0,0
39,0,-24627,0,0,0
40,-139162,0,0,0,0
41,0,0,0,0,0
42,0,0,0,-4173450,0
43,0,0,0,-4173450,0
44,0,-384870,0,0,0
45,0,115390,0,0,0
46,0,0,-6741,0,0
47,-115390,0,0,0,0
48,0,0,0,0,282893
49,0,0,0,0,0
50,0,0,0,0,-127142
51,0,0,-2531,0,0
52,0,-271995,0,0,0
53,0,0,-27138,0,0
54,-73932,0,0,0,0
55,0,0,-86493,0,0
56,0,0,0,0,528279
57,-885,0,0,0,0
58,0,0,0,-4002895,0
59,0,0,0,0,0
60,0,0,0,-4002895,0
61,0,0,0,0,0
62,0,0,0,-4002895,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,-11240,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,-41494,0,0,0
70,0,0,0,0,0
71,0,0,0,0,364174
72,0,0,0,0,0
73,0,0,0,0,0
74,18808,0,0,0,0
75,-54540,0,0,0,0
76,0,-491757,0,0,0
77,990,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,104613
80,0,0,0,-3892449,0
81,-69672,0,0,0,0
82,0,-142939,0,0,0
83,0,0,0,-3679838,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,-3679838,0
87,0,0,0,0,-635410
88,0,0,0,-3044428,0
89,0,0,0,0,805981
90,0,0,0,-3850409,0
91,0,0,0,0,0
92,0,0,-32776,0,0
93,0,0,0,-3817633,0
94,0,0,0,-3817633,0
95,0,0,0,-3817633,0
96,0,0,0,-3817633,0
97,0,0,0,0,580097
98,0,-72670,0,0,0
99,0,0,0,0,0
100,0,0,0,-4325060,0
101,0,0,0,0,299322
102,0,0,0,0,0
103,0,0,-32960,0,0
104,0,0,0,0,0
105,0,0,-50605,0,0
106,0,0,0,0,0
107,0,0,0,-4540817,0
108,-128770,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,286542
111,0,0,0,0,0
112,0,0,0,0,0
113,-33418,0,0,0,0
114,0,0,0,0,299021
115,0,0,0,0,225043
116,0,-64,0,0,0
117,0,-287630,0,0,0
118,-40975,0,0,0,0
119,0,0,-136714,0,0
120,0,110060,0,0,0
121,0,0,-44221,0,0
122,0,0,0,0,0
123,0,0,-71812,0,0
124,0,0,0,0,134743
125,0,0,0,0,0
126,0,-50655,0,0,0
127,0,0,0,0,0
128,0,0,0,0,13209
129,0,0,0,0,-451926
130,0,0,0,-4363250,0
131,0,0,0,-4363250,0
132,0,0,0,0,-456444
133,15502,0,0,0,0
134,0,0,0,0,0
135,0,0,-20536,0,0
136,0,0,0,0,-624738
137,0,0,0,-3277034,0
138,0,0,-4102,0,0
139,-53883,0,0,0,0
140,25897,0,0,0,0
141,0,0,0,0,105190
142,0,0,-151439,0,0
143,2624,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,15347
147,0,0,0,-3216668,0
148,0,0,-8207,0,0
149,0,0,0,-3208461,0
150,-12901,0,0,0,0
151,0,0,0,-3195560,0
152,0,0,0,0,279681
153,0,0,0,-3475241,0
154,-80377,0,0,0,0
155,0,0,-538,0,0
156,0,-11052,0,0,0
157,0,0,0,0,0
158,0,0,-68356,0,0
159,0,0,0,0,1042364
160,0,0,-99569,0,0
161,0,235384,0,0,0
162,0,3182,0,0,0
163,0,0,-57447,0,0
164,0,0,0,0,0
165,-24603,0,0,0,0
166,-2560,0,0,0,0
167,0,0,0,-4411669,0
168,0,0,0,0,0
169,0,0,0,-4411669,0
170,80875,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,-160185
173,0,0,0,-4332359,0
174,0,-262273,0,0,0
175,0,0,0,0,0
176,0,0,0,-4070086,0
177,0,-2560,0,0,0
178,0,0,-16767,0,0
179,0,0,0,0,0
180,0,0,0,0,-133100
181,0,0,0,0,65890
182,0,0,-51180,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,-13433,0,0
187,-61179,0,0,0,0
188,0,0,0,0,0
189,0,-503240,0,0,0
190,0,0,0,0,0
191,0,-390813,0,0,0
192,0,390813,0,0,0
193,0,0,0,-3354517,0
194,-54465,0,0,0,0
195,0,0,0,0,0
196,0,24736,0,0,0
197,0,0,0,0,0
198,0,0,0,0,-184697
199,0,0,0,-3140091,0
200,0,0,0,-3140091,0
201,-112537,0,0,0,0
202,-27164,0,0,0,0
203,0,0,0,0,0
204,0,0,-5109,0,0
205,-15721,0,0,0,0
206,0,0,0,0,725330
207,-46259,0,0,0,0
208,0,0,0,-3658631,0
209,0,0,0,0,0
210,0,0,-136402,0,0
211,0,0,0,0,0
212,-14887,0,0,0,0
213,0,0,0,0,0
214,-1,0,0,0,0
215,-10308,0,0,0,0
216,0,0,0,0,653226
217,-14849,0,0,0,0
218,0,0,0,0,938114
219,0,0,-4355,0,0
220,-35427,0,0,0,0
221,0,0,-48825,0,0
222,0,0,-67144,0,0
223,0,0,0,0,0
224,0,0,-47611,0,0
225,0,0,0,0,503664
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,-14933,0,0
229,0,0,-119639,0,0
230,0,0,0,0,-310215
231,0,0,0,0,-123202
232,0,0,-46598,0,0
233,0,0,0,-4759239,0
234,0,-9761,0,0,0
235,0,0,0,-4749478,0
236,0,0,0,0,-323849
237,0,0,-194959,0,0
238,0,-296931,0,0,0
239,522,0,0,0,0
240,0,0,0,0,0
241,0,20622,0,0,0
242,0,0,0,0,0
243,-27481,0,0,0,0
244,0,0,0,0,0
245,0,-503240,0,0,0
246,0,-491385,0,0,0
247,0,0,0,0,0
248,0,0,0,0,0
249,-11733,0,0,0,0
250,0,0,0,0,0
251,34602,0,0,0,0
252,0,0,0,0,-9747
253,0,0,0,0,142645
254,0,0,-142645,0,0
255,0,0,-24363,0,0
256,0,0,0,0,0
257,0,513873,0,0,0
258,0,0,0,0,0
259,0,0,-8393,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,85739,0,0,0
263,-58519,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,-15021
266,0,0,-36219,0,0
267,0,0,0,0,-66778
268,-66024,0,0,0,0
269,18778,0,0,0,0
270,0,0,-122394,0,0
271,-15502,0,0,0,0
272,0,0,-9900,0,0
273,0,0,-42702,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,156218
277,19921,0,0,0,0
278,12822,0,0,0,0
279,0,0,0,0,0
280,0,545733,0,0,0
281,0,0,0,0,-25747
282,0,0,0,0,0
283,0,0,0,0,222246
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,47861
288,-70011,0,0,0,0
289,0,0,-8206,0,0
290,0,0,-109007,0,0
291,0,-50766,0,0,0
292,0,0,0,0,282335
293,0,0,0,0,0
294,0,0,-212285,0,0
295,0,0,-25767,0,0
296,0,0,0,0,0
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,0,0,-6653,0,0
303,0,0,-29557,0,0
304,0,0,-49768,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,168207
310,0,0,0,0,292145
311,0,0,-113153,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,-15210,0,0
315,0,0,-69024,0,0
316,-73112,0,0,0,0
317,0,0,-5086,0,0
318,0,0,-76981,0,0
319,0,0,0,0,101110
320,-78992,0,0,0,0
321,0,0,0,-3927747,0
322,0,0,0,0,0
323,0,0,0,0,-453536
324,-142313,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,499270
328,0,0,0,0,405079
329,0,0,0,0,35030
330,-65015,0,0,0,0
331,0,0,0,0,11860
332,0,0,-31898,0,0
333,0,0,-4383,0,0
334,0,0,0,-4181841,0
335,0,155623,0,0,0
336,-267567,0,0,0,0
337,0,0,0,0,-332905
338,0,-155623,0,0,0
339,0,-58952,0,0,0
340,0,0,0,0,0
341,0,0,0,0,124517
342,0,-503240,0,0,0
343,0,0,0,0,-107256
344,0,0,-30324,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,-41121,0,0,0,0
350,0,0,0,0,-96704
351,0,0,0,0,0
352,0,0,-2102,0,0
353,0,0,0,0,0
354,0,0,-38792,0,0
355,0,-4349,0,0,0
356,0,0,0,0,79069
357,0,0,-121615,0,0
358,-19866,0,0,0,0
359,0,16764,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,522,0,0,0,0
364,0,0,-58282,0,0
365,0,0,0,0,88294
366,0,0,-2460,0,0
367,0,0,0,0,35771
368,0,0,-28348,0,0
369,-91976,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,452052
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,-6543,0,0
375,0,0,-76981,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,0,0,-53972,0,0
379,0,0,0,0,98617
380,0,0,0,0,0
381,0,256274,0,0,0
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,-31808
386,0,0,-69401,0,0
387,0,0,-14096,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,-3275061,0
391,0,0,0,0,492234
392,-112728,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,-20575,0,0
397,0,0,0,0,0
398,18778,0,0,0,0
399,-18778,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,-604296
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,-69227
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,1169178
409,0,0,-2466,0,0
410,0,0,0,0,0
411,-61843,0,0,0,0
412,0,0,-157195,0,0
413,0,0,-32745,0,0
414,0,0,0,0,0
415,40197,0,0,0,0
416,0,0,0,0,0
417,0,0,-4228,0,0
418,0,0,0,0,0
419,-36708,0,0,0,0
420,0,0,-3190,0,0
421,-23631,0,0,0,0
422,0,0,0,0,0
423,0,0,0,0,126997
424,0,0,0,0,0
425,15502,0,0,0,0
426,56422,0,0,0,0
427,0,0,0,0,0
428,0,0,-21208,0,0
429,0,0,0,0,0
430,0,0,-19601,0,0
431,0,0,-8206,0,0
432,0,0,0,0,11780
433,-83488,0,0,0,0
434,0,0,0,0,451374
435,0,0,-13883,0,0
436,-25938,0,0,0,0
437,0,0,-48123,0,0
438,13091,0,0,0,0
439,-36046,0,0,0,0
440,0,0,0,0,0
441,-67367,0,0,0,0
442,0,0,-17481,0,0
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,0
447,0,0,0,0,246662
448,0,0,-111259,0,0
449,0,-356086,0,0,0
450,0,0,0,0,0
451,-95518,0,0,0,0
452,0,0,0,0,0
453,0,0,0,0,265888
454,0,0,0,0,0
455,0,0,0,0,40253
456,0,-132458,0,0,0
457,-116970,0,0,0,0
458,0,0,-3329,0,0
459,0,0,0,0,200132
