iteration,operator_0,operator_1,operator_2
0,0,0,0
1,-7556213,0,0
2,0,0,0
3,0,-42955,0
4,0,0,-33478
5,0,0,-41988
6,0,13378,0
7,0,0,0
8,0,0,0
9,0,-466261,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,12752,0
15,75466,0,0
16,-29885,0,0
17,0,-399163,0
18,0,-574463,0
19,0,0,-21286
20,0,0,-25233
21,0,14136,0
22,0,-364900,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,-40237,0
31,-28531,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,35902,0
36,0,0,0
37,0,0,0
38,0,-1966,0
39,-28378,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,-14407
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,-200853,0
49,0,0,0
50,0,-27621,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,-13378,0
55,0,0,0
56,0,-132200,0
57,0,-700609,0
58,49030,0,0
59,0,0,-88875
60,0,-388372,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,-495923,0
69,0,0,0
70,0,0,-53472
71,-11,0,0
72,0,0,0
73,0,0,0
74,0,0,-1
75,0,-292146,0
76,0,-213514,0
77,0,0,0
78,66029,0,0
79,12987,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,-57299
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,11,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,67509,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,-67509,0,0
117,0,0,0
118,0,0,-14719
119,0,0,0
120,0,0,0
121,666498,0,0
122,23120,0,0
123,0,0,0
124,85516,0,0
125,0,0,0
126,0,0,-228
127,0,0,-78229
128,-3271,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,663,0,0
134,0,0,0
135,0,642085,0
136,0,0,0
137,85516,0,0
138,0,0,0
139,0,0,0
140,0,24421,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,-771381,0
146,0,0,-27461
147,0,-372209,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,81234,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,-3169,0
165,0,0,0
166,-13045,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,-21923
171,0,0,0
172,0,-56484,0
173,0,0,0
174,0,0,0
175,5768,0,0
176,0,0,0
