iteration,probability
6,0
14,0
15,0
21,0
35,0
58,0
78,0
79,0
106,0.459411175372408
112,0
121,0
122,0
124,0
133,0.0000000000000000000016933088413147571
135,0
137,0
140,0
157,0
175,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038348791665765164
178,0.0000000000000000000000000013047465881784885
196,0
203,0
215,0.10029418513425739
217,0
229,0
240,0
243,0
247,0
248,0
256,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015287735175463
260,0
272,0
281,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007412645838431942
289,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008978568519736501
292,0
319,0
330,0
332,0
339,0
348,0
350,0
384,0
411,0
422,0
472,0
486,0
502,0
515,0
525,0
554,0
556,0
578,0
582,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010093816759599403
587,0
596,0
601,0
604,0.00000000000007173609618645234
615,0
640,0
659,0
662,0
685,0
693,0
698,0
699,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002712185126738736
700,0
708,0
742,0
756,0
760,0
772,0
774,0
801,0
811,0
824,0
827,0.2653456949573528
831,0
836,0
863,0
871,0
889,0.24930883616261362
896,0
902,0
906,0
908,0
911,0
947,0
951,0
961,0
976,0
985,0
1013,0
1039,0.8683886284305098
1042,0
1049,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011795449229547837
1051,0
1061,0
1069,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014544366884315128
1072,0.8653620107823985
1081,0
1082,0
1090,0
1105,0
1136,0
1167,0
1168,0
1171,0
1176,0
1182,0
1189,0
1193,0
1194,0
1204,0
1211,0
1212,0
1214,0
1224,0
1229,0
1244,0
1257,0
1265,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019837288207952018
1279,0
1289,0
1296,0
1312,0
1314,0
1354,0
1378,0
1380,0
1394,0
1399,0
1408,0.13001293434761613
1414,0
1421,0
1426,0
1429,0
1431,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001811268940559089
1436,0.00000000000000000000000000000000000000000000000000000752586054959038
1439,0
1451,0
1468,0
1477,0
1482,0
1490,0
1494,0
1496,0
1505,0
1514,0
1528,0
1535,0
1541,0
1550,0
1559,0
1576,0
1578,0
1606,0
1617,0
1625,0
1639,0
1640,0
1643,0
1644,0
1652,0
1701,0
1705,0
1708,0
1724,0
1728,0
1740,0
1742,0
1743,0
1774,0
1778,0
1786,0
1791,0
1797,0
1798,0
1799,0
1810,0
1814,0
1830,0.000000000000000000000000000000000000000000000000000000000000000000000000000000001195288861698421
1831,0
1843,0
1848,0
1852,0
1862,0
1866,0
1877,0
1886,0
1890,0
1891,0
1893,0
1918,0
